Mock_Community,Output,Assembler,Size,Fraction,Minimap2_Fraction
Even,3Gb,Minia,58913564,4.215,37.96
Even,3Gb,Minia,58180363,5.229,38.55
Even,3Gb,Megahit,-51677386,18.54,75.67
Even,3Gb,Megahit,-52411810,18.763,75.3
Even,3Gb,Canu,28738786,46.77,45.78
Even,3Gb,Canu,28272532,46.954,46.26
Even,3Gb,Unicycler,29894669,43.559,42.96
Even,3Gb,Unicycler,30131013,44.15,43.15
Even,3Gb,miniasm,29813821,,42.63
Even,3Gb,miniasm,30508350,,42.81
Even,3Gb,metaFlye v2.4,24332634,50.652,51.32
Even,3Gb,metaFlye v2.4,24891419,50.546,50.73
Even,3Gb,Raven,31097446,42.79,42.75
Even,3Gb,Raven,30703093,43.45,43.36
Even,3Gb,RedBean,32134491,37.986,42.74
Even,3Gb,RedBean,32688658,37.669,41.5
Even,3Gb,Shasta,44334209,24.425,24.24
Even,3Gb,Shasta,45226512,23.142,23.16
Even,3Gb,metaFlye v2.7,26045273,50.498,49.91
Even,3Gb,metaFlye v2.7,26647470,49.81,49.06
Even,3Gb,Pomoxis,26854770,47.555,46.73
Even,3Gb,Pomoxis,27122976,47.252,46.61
Even,6Gb,Minia,59313577,3.624,33.97
Even,6Gb,Minia,58676585,4.52,34.13
Even,6Gb,Megahit,-128303191,21.476,82.68
Even,6Gb,Megahit,-126422515,22.153,82.7
Even,6Gb,Canu,18297390,60.703,59.59
Even,6Gb,Canu,17840380,61.06,60.35
Even,6Gb,Unicycler,51472574,14.454,14.71
Even,6Gb,Unicycler,47752333,18.683,19.71
Even,6Gb,miniasm,27634586,,45.19
Even,6Gb,miniasm,28948503,,45.1
Even,6Gb,metaFlye v2.4,8506672,70.385,72.98
Even,6Gb,metaFlye v2.4,9267809,70.427,72.17
Even,6Gb,Raven,19039521,59.584,59.67
Even,6Gb,Raven,18446593,60.647,60.3
Even,6Gb,RedBean,25789322,41.557,51.95
Even,6Gb,RedBean,25633257,41.917,52.11
Even,6Gb,Shasta,43444019,25.6,25.44
Even,6Gb,Shasta,39939154,30.566,30.36
Even,6Gb,metaFlye v2.7,11391064,69.693,70.14
Even,6Gb,metaFlye v2.7,12358683,69.119,69.36
Even,6Gb,Pomoxis,13283742,65.291,65.08
Even,6Gb,Pomoxis,13622945,66.091,65.63
